"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2827;3044;3091;2870;4763;4018;2792;1563;1067;439;106;26580
"110002 ARIQUEMES";8924;8985;9042;8605;15000;12518;8319;4606;2586;1134;304;80023
"110003 CABIXI";767;767;835;799;1241;1052;824;530;371;149;49;7384
"110004 CACOAL";7682;8024;8470;8182;14194;11965;8411;4685;2865;1476;442;76396
"110005 CEREJEIRAS";1768;1938;2097;1944;3167;2824;1999;1218;825;408;123;18311
"110006 COLORADO DO OESTE";2072;2195;2417;2393;3819;3100;2357;1506;1057;483;154;21553
"110007 CORUMBIARA";1052;1196;1263;1125;1810;1501;1027;677;444;139;39;10273
"110008 COSTA MARQUES";1482;1375;1239;1129;1858;1327;940;595;344;172;39;10500
"110009 ESPIGAO D'OESTE";2940;2872;2974;2924;5099;4015;2866;1700;983;490;131;26994
"110010 GUAJARA-MIRIM";5001;4742;4692;4342;7212;5578;3571;2181;1340;791;309;39759
"110011 JARU";5765;5883;6179;6229;10503;7875;5461;3167;2035;958;314;54369
"110012 JI-PARANA";11468;11606;12365;12200;21019;17564;12206;6671;3839;1966;628;111532
"110013 MACHADINHO D'OESTE";3030;2922;2942;2818;4647;3476;2624;1596;863;311;72;25301
"110014 NOVA BRASILANDIA D'OESTE";2154;2382;2311;2161;3857;2859;2005;1268;778;367;81;20223
"110015 OURO PRETO DO OESTE";4206;4340;4656;4586;7600;6275;4255;2510;1565;803;245;41041
"110018 PIMENTA BUENO";3398;3456;3686;3600;6057;5071;3622;2081;1193;603;183;32950
"110020 PORTO VELHO";40842;40204;41918;40956;69936;56568;38856;19391;9830;4803;1735;365039
"110025 PRESIDENTE MEDICI";2511;2694;2920;2915;4567;3712;2831;1801;1215;596;177;25939
"110026 RIO CRESPO";324;334;341;328;571;461;309;207;151;57;11;3094
"110028 ROLIM DE MOURA";4928;5231;5577;5289;9167;7558;5205;2999;1958;1014;288;49214
"110029 SANTA LUZIA D'OESTE";1116;1207;1289;1223;2013;1689;1180;685;484;226;73;11185
"110030 VILHENA";6465;6381;6740;6498;11238;9596;6580;3617;2067;905;242;60329
"110032 SAO MIGUEL DO GUAPORE";2570;2692;2605;2380;3974;3103;2138;1251;761;262;57;21793
"110033 NOVA MAMORE";2131;2002;1982;1937;3272;2353;1599;939;521;217;59;17012
"110034 ALVORADA D'OESTE";2128;2250;2203;2111;3589;2771;2024;1205;793;367;87;19528
"110037 ALTO ALEGRE DOS PARECIS";1577;1637;1498;1328;2405;1924;1196;789;455;165;36;13010
"110040 ALTO PARAISO";1651;1672;1602;1511;2633;2118;1444;939;556;218;48;14392
"110045 BURITIS";3397;3327;3245;3159;5388;4027;2746;1568;753;223;46;27879
"110050 NOVO HORIZONTE DO OESTE";1272;1350;1386;1299;2225;1729;1232;774;529;198;46;12040
"110060 CACAULANDIA";634;637;618;586;1021;793;588;372;221;87;21;5578
"110070 CAMPO NOVO DE RONDONIA";1527;1475;1436;1331;2190;1665;1196;691;358;108;31;12008
"110080 CANDEIAS DO JAMARI";1964;1882;1780;1641;2660;1965;1466;926;489;207;55;15035
"110090 CASTANHEIRAS";422;477;469;417;716;612;403;320;209;78;23;4146
"110092 CHUPINGUAIA";760;757;728;670;1179;940;618;384;209;62;19;6326
"110094 CUJUBIM";1147;1122;1027;939;1749;1250;884;508;253;73;21;8973
"110100 GOVERNADOR JORGE TEIXEIRA";1513;1598;1609;1474;2362;1795;1245;835;485;197;53;13166
"110110 ITAPUA DO OESTE";952;927;890;760;1214;993;766;495;282;93;28;7400
"110120 MINISTRO ANDREAZZA";1260;1333;1344;1211;2058;1643;1086;698;435;221;55;11344
"110130 MIRANTE DA SERRA";1463;1546;1520;1410;2405;1784;1319;799;549;258;72;13125
"110140 MONTE NEGRO";1566;1587;1506;1403;2456;1827;1307;843;524;202;41;13262
"110143 NOVA UNIAO";950;1012;950;888;1554;1156;766;481;311;120;41;8229
"110145 PARECIS";477;467;490;448;687;562;412;247;142;48;14;3994
"110146 PIMENTEIRAS DO OESTE";321;324;295;243;459;353;243;157;89;37;9;2530
"110147 PRIMAVERA DE RONDONIA";439;472;455;441;744;625;443;286;195;85;25;4210
"110148 SAO FELIPE D'OESTE";682;740;760;757;1262;999;773;511;308;126;35;6953
"110149 SAO FRANCISCO DO GUAPORE";1700;1679;1564;1413;2452;1928;1255;767;387;128;24;13297
"110150 SERINGUEIRAS";1444;1528;1428;1262;2180;1727;1153;656;404;129;23;11934
"110155 TEIXEIROPOLIS";553;618;640;622;997;810;519;365;260;138;38;5560
"110160 THEOBROMA";1243;1281;1285;1268;2126;1503;1161;768;438;147;40;11260
"110170 URUPA";1607;1668;1750;1708;2710;1883;1533;999;586;214;75;14733
"110175 VALE DO ANARI";1001;1006;977;907;1481;1103;830;546;331;109;20;8311
"110180 VALE DO PARAISO";1006;1109;1105;1059;1800;1437;955;614;385;167;32;9669
"120001 ACRELANDIA";1508;1453;1274;1107;1729;1258;894;604;347;154;29;10357
"120005 ASSIS BRASIL";764;683;631;567;867;581;373;239;145;95;34;4979
"120010 BRASILEIA";2368;2216;2081;1921;3040;2209;1479;987;630;321;122;17374
"120013 BUJARI";1046;957;853;763;1208;822;623;423;219;107;28;7049
"120017 CAPIXABA";899;872;702;568;935;791;553;346;193;92;28;5979
"120020 CRUZEIRO DO SUL";11522;10201;9187;8991;13442;7786;5237;3474;2266;1157;541;73804
"120025 EPITACIOLANDIA";1705;1590;1451;1323;2190;1652;1049;681;435;255;95;12426
"120030 FEIJO";5586;4957;4375;3719;5462;3513;2072;1396;871;474;184;32609
"120032 JORDAO";1129;891;706;563;764;420;261;141;85;54;26;5040
"120033 MANCIO LIMA";1976;1752;1589;1480;2070;1172;834;534;332;150;76;11965
"120034 MANOEL URBANO";1219;1060;901;810;1158;653;468;292;211;96;41;6909
"120035 MARECHAL THAUMATURGO";2004;1703;1398;1109;1591;849;520;311;190;92;36;9803
"120038 PLACIDO DE CASTRO";2294;2065;1876;1739;2628;1934;1338;855;561;311;90;15691
"120039 PORTO WALTER";1383;1070;897;776;1054;561;363;219;147;63;22;6555
"120040 RIO BRANCO";35610;32961;30788;30839;54032;38964;26233;14986;8295;4757;2064;279529
"120042 RODRIGUES ALVES";1866;1590;1296;1160;1737;966;612;453;260;115;50;10105
"120043 SANTA ROSA DO PURUS";608;491;416;328;417;250;146;81;58;28;9;2832
"120045 SENADOR GUIOMARD";2579;2349;2180;2043;3277;2278;1637;1078;681;359;123;18584
"120050 SENA MADUREIRA";4906;4519;3984;3744;5599;3314;2408;1610;1018;584;259;31945
"120060 TARAUACA";5485;4604;3991;3513;4863;3039;1962;1308;868;491;198;30322
"120070 XAPURI";1906;1835;1629;1465;2244;1603;1154;790;527;341;118;13612
"120080 PORTO ACRE";1697;1616;1414;1205;1954;1458;1023;709;430;220;66;11792
"130002 ALVARAES";2397;2077;1756;1468;2088;1224;769;500;356;147;46;12828
"130006 AMATURA";1271;1217;1070;901;1365;839;537;337;230;101;56;7924
"130008 ANAMA";1134;1101;994;895;1290;817;497;317;267;113;49;7474
"130010 ANORI";1869;1808;1661;1499;2223;1359;880;567;430;212;112;12620
"130014 APUI";1889;1974;1907;1707;2589;2043;1542;832;398;126;35;15042
"130020 ATALAIA DO NORTE";1877;1801;1616;1345;1891;1226;743;420;265;119;40;11343
"130030 AUTAZES";4184;3841;3463;3006;4282;2888;1953;1272;894;496;243;26522
"130040 BARCELOS";3300;3655;3509;3038;4297;3154;1870;1132;753;276;74;25058
"130050 BARREIRINHA";4170;3738;3231;2683;3653;2370;1648;1060;800;477;255;24085
"130060 BENJAMIN CONSTANT";4310;3737;3394;3061;4288;2767;1780;1108;859;406;164;25874
"130063 BERURI";2221;1918;1628;1433;1924;1174;784;497;378;182;78;12217
"130068 BOA VISTA DO RAMOS";1889;1796;1588;1332;1895;1202;832;491;354;174;106;11659
